brand,url,page_type_guess,discovered_on,link_text,seed_url
Unknown,https://building-center.org/water-heater-table-of-contents-age-manufacture-date-serial-number/,hvac_age,2026-01-24,Water Heater Brand Index,https://www.building-center.org/hvac-table-of-contents-2/
Unknown,https://www.building-center.org/additional-hints-and-tips/,hvac_age,2026-01-24,Hints & Tips Tips to estimate the age without a serial number,https://www.building-center.org/hvac-table-of-contents-2/
AAON,https://building-center.org/aaonaire-hvac-age/,other,2026-01-24,AAONAIRE®,https://www.building-center.org/hvac-table-of-contents-2/
Goodman/Amana/Daikin,https://building-center.org/amana-hvac-age/,other,2026-01-24,Amana®,https://www.building-center.org/hvac-table-of-contents-2/
Trane,https://building-center.org/american-standard-hvac-age/,other,2026-01-24,American Standard®,https://www.building-center.org/hvac-table-of-contents-2/
Lennox,https://building-center.org/armstrong-air-hvac-age/,other,2026-01-24,Armstrong Air®,https://www.building-center.org/hvac-table-of-contents-2/
Carrier/ICP,https://building-center.org/carrier-hvac-age/,other,2026-01-24,Carrier®,https://www.building-center.org/hvac-table-of-contents-2/
York/JCI,https://building-center.org/coleman-hvac-age/,other,2026-01-24,Coleman®,https://www.building-center.org/hvac-table-of-contents-2/
Carrier/ICP,https://building-center.org/comfortmaker-hvac-age/,other,2026-01-24,Comfortmaker®,https://www.building-center.org/hvac-table-of-contents-2/
Goodman/Amana/Daikin,https://building-center.org/daikin-hvac-age/,other,2026-01-24,Daikin®,https://www.building-center.org/hvac-table-of-contents-2/
Carrier/ICP,https://building-center.org/day-night-hvac-age/,other,2026-01-24,Day & Night®,https://www.building-center.org/hvac-table-of-contents-2/
Lennox,https://building-center.org/ducane-hvac-age/,other,2026-01-24,Ducane®,https://www.building-center.org/hvac-table-of-contents-2/
Goodman/Amana/Daikin,https://building-center.org/goodman-hvac-age/,other,2026-01-24,Goodman®,https://www.building-center.org/hvac-table-of-contents-2/
Carrier/ICP,https://building-center.org/heil-hvac-age/,other,2026-01-24,Heil-Quaker®,https://www.building-center.org/hvac-table-of-contents-2/
Carrier/ICP,https://building-center.org/icp-commercial-hvac-age/,other,2026-01-24,ICP Commercial (ICP)®,https://www.building-center.org/hvac-table-of-contents-2/
Carrier/ICP,https://www.building-center.org/icp-commercial-hvac-age/,other,2026-01-24,Maratherm (see ICP),https://www.building-center.org/hvac-table-of-contents-2/
Lennox,https://building-center.org/lennox-hvac-age/,other,2026-01-24,Lennox®,https://www.building-center.org/hvac-table-of-contents-2/
LG,https://building-center.org/lg-hvac-age/,other,2026-01-24,LG®,https://www.building-center.org/hvac-table-of-contents-2/
York/JCI,https://building-center.org/luxaire-hvac-age/,other,2026-01-24,Luxaire®,https://www.building-center.org/hvac-table-of-contents-2/
Mitsubishi,https://building-center.org/mitsubishi-hvac-age/,other,2026-01-24,Mitsubishi®,https://www.building-center.org/hvac-table-of-contents-2/
York/JCI,https://building-center.org/new-yorker-hvac-age/,other,2026-01-24,New Yorker®,https://www.building-center.org/hvac-table-of-contents-2/
Rheem/Ruud,https://building-center.org/rheem-hvac-age/,other,2026-01-24,Rheem®,https://www.building-center.org/hvac-table-of-contents-2/
Rheem/Ruud,https://building-center.org/ruud-hvac-age/,other,2026-01-24,Ruud®,https://www.building-center.org/hvac-table-of-contents-2/
Rheem/Ruud,https://www.building-center.org/rheem-hvac-age/,other,2026-01-24,Sure Comfort® (Rheem),https://www.building-center.org/hvac-table-of-contents-2/
Carrier/ICP,https://building-center.org/tempstar-hvac-age/,other,2026-01-24,Tempstar®,https://www.building-center.org/hvac-table-of-contents-2/
Trane,https://building-center.org/trane-hvac-age/,other,2026-01-24,,https://www.building-center.org/hvac-table-of-contents-2/
York/JCI,https://www.building-center.org/york-hvac-age/,other,2026-01-24,Unitary Products Group® (York),https://www.building-center.org/hvac-table-of-contents-2/
York/JCI,https://building-center.org/york-hvac-age/,other,2026-01-24,York®,https://www.building-center.org/hvac-table-of-contents-2/
Unknown,https://www.building-center.org/tonnage-estimate-main/,tonnage_decoder,2026-01-24,Decode HVAC size information,https://www.building-center.org/hvac-table-of-contents-2/
Unknown,https://www.building-center.org/small-appliance-manufacture-dates/,hvac_age,2026-01-24,Decode Small Appliance Serial #’s,https://www.building-center.org/hvac-table-of-contents-2/
