AgreementKey,Customer Key,Contract with Year,Contract,Contract Year,Check if Customer in CUSTOMERS_D,Check if Contract in CONTRACTS_D,Contract_Internal_Name,Max Contract Year from CONTRACTS_D,,,,,,,
TN991786SERV_GP_C0647_2,TN991786SERV_GP,C0647_2,C0647,2,1,3,CERTIFIED,6,,,,,,,
TN991850SERV_GP_C0635_1,TN991850SERV_GP,C0635_1,C0635,1,1,2,CERTIFIED,6,,,,,,,
TN991850SERV_GP_C0635_2,TN991850SERV_GP,C0635_2,C0635,2,1,2,CERTIFIED,6,,,,,,,
TN991850SERV_GP_C0635_3,TN991850SERV_GP,C0635_3,C0635,3,1,2,CERTIFIED,6,,,,,,,
TN991877SERV_GP_C0705_1,TN991877SERV_GP,C0705_1,C0705,1,1,2,CERTIFIED,6,,,,,,,
TN991877SERV_GP_C0705_2,TN991877SERV_GP,C0705_2,C0705,2,1,2,CERTIFIED,6,,,,,,,
TN991877SERV_GP_C0705_3,TN991877SERV_GP,C0705_3,C0705,3,1,2,CERTIFIED,6,,,,,,,
TN991877SERV_GP_C0707_1,TN991877SERV_GP,C0707_1,C0707,1,1,3,CERTIFIED,3,,,,,,,
TN991877SERV_GP_C0707_2,TN991877SERV_GP,C0707_2,C0707,2,1,3,CERTIFIED,3,,,,,,,
TN991943SERV_GP_C0742_1,TN991943SERV_GP,C0742_1,C0742,1,1,2,CERTIFIED,6,,,,,,,
TN991943SERV_GP_C0742_2,TN991943SERV_GP,C0742_2,C0742,2,1,2,CERTIFIED,6,,,,,,,
TN991943SERV_GP_C0742_3,TN991943SERV_GP,C0742_3,C0742,3,1,2,CERTIFIED,6,,,,,,,
TN991943SERV_GP_C0742_4,TN991943SERV_GP,C0742_4,C0742,4,1,2,CERTIFIED,6,,,,,,,
TN991970SERV_GP_C5145_1,TN991970SERV_GP,C5145_1,C5145,1,1,1,CERTIFIED,4,,,,,,,
TN991970SERV_GP_C5145_2,TN991970SERV_GP,C5145_2,C5145,2,1,1,CERTIFIED,4,,,,,,,
TN991975SERV_GP_I0423_1,TN991975SERV_GP,I0423_1,I0423,1,1,1,INSPECTION,4,,,,,,,
TN991990SERV_GP_C0746_1,TN991990SERV_GP,C0746_1,C0746,1,1,1,CERTIFIED,4,,,,,,,
TN991990SERV_GP_C0746_2,TN991990SERV_GP,C0746_2,C0746,2,1,1,CERTIFIED,4,,,,,,,
TN992028SERV_GP_A0448_1,TN992028SERV_GP,A0448_1,A0448,1,1,1,ASSURED,6,,,,,,,
TN992028SERV_GP_A0448_2,TN992028SERV_GP,A0448_2,A0448,2,1,1,ASSURED,6,,,,,,,
TN992030SERV_GP_C0377_1,TN992030SERV_GP,C0377_1,C0377,1,1,1,CERTIFIED,3,,,,,,,
TN992030SERV_GP_C0377_2,TN992030SERV_GP,C0377_2,C0377,2,1,1,CERTIFIED,3,,,,,,,
TN992031SERV_GP_A0452_1,TN992031SERV_GP,A0452_1,A0452,1,1,1,ASSURED,6,,,,,,,
WV990109SERV_GP_C0341_1,WV990109SERV_GP,C0341_1,C0341,1,1,27,CERTIFIED,6,,,,,,,
WV990109SERV_GP_C0341_2,WV990109SERV_GP,C0341_2,C0341,2,1,27,CERTIFIED,6,,,,,,,
LX980010SERV_GP_A0493_2,LX980010SERV_GP,A0493_2,A0493,2,1,2,ASSURED,6,,,,,,,
CN991805SERV_GP_C3381_2,CN991805SERV_GP,C3381_2,C3381,2,1,1,CERTIFIED,7,,,,,,,
DY991001SERV_GP_A3176_0,DY991001SERV_GP,A3176_0,A3176,0,1,1,ASSURED,1,,,,,,,
IN990187SERV_GP_A0515_2,IN990187SERV_GP,A0515_2,A0515,2,1,1,ASSURED,6,,,,,,,
CN991794SERV_GP_C2468_1,CN991794SERV_GP,C2468_1,C2468,1,1,1,CERTIFIED,6,,,,,,,
CN991805SERV_GP_C3352_2,CN991805SERV_GP,C3352_2,C3352,2,1,1,CERTIFIED,4,,,,,,,
CN991794SERV_GP_C2468_2,CN991794SERV_GP,C2468_2,C2468,2,1,1,CERTIFIED,6,,,,,,,
DY990960SERV_GP_C3297_2,DY990960SERV_GP,C3297_2,C3297,2,1,5,CERTIFIED,7,,,,,,,
NV00054SERV_GP_C0647_2,NV00054SERV_GP,C0647_2,C0647,2,1,3,CERTIFIED,6,,,,,,,
LX980010SERV_GP_A0493_3,LX980010SERV_GP,A0493_3,A0493,3,1,2,ASSURED,6,,,,,,,
TN991990SERV_GP_C0746_3,TN991990SERV_GP,C0746_3,C0746,3,1,1,CERTIFIED,4,,,,,,,
TN992028SERV_GP_A0448_3,TN992028SERV_GP,A0448_3,A0448,3,1,1,ASSURED,6,,,,,,,
IN200001SERV_GP_C0524_4,IN200001SERV_GP,C0524_4,C0524,4,1,6,CERTIFIED,5,,,,,,,
IN980003SERV_GP_C0662_3,IN980003SERV_GP,C0662_3,C0662,3,1,3,CERTIFIED,6,,,,,,,
